x,VALVE_TYPE,VALVE_TYPE2,FACILITYID,LEGACYID,NODE_NO,VALVE_SIZE,MATERIAL,INVERT,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,YTD_COST,LIFECYCLE_COST,CONDITION,CONDITIONDATE,FLOW_WEIR,LAST_INSP_DATE,INSTALL_DATE,MAKE,MODEL,MANUFACTURER,VENDOR,I_I_SOURCE,I_I_QUANTITY,CONDITION_NOTATION,CRE_DATE,MOD_DATE,ENABLED,Latitude,Longitude
29,3,Gate,1000141250,21668,1239702324,200,Ductile Iron,39.55,In Service,7898-0075-00,1998,Surrey,,,Final AB,,,,,,,,,,,,,,,,20011011,,1,49.045108,-122.878478
30,3,Gate,1000141393,22595,1389303500,200,Ductile Iron,0.09,In Service,S-810,1994,Surrey,,,Final AB,,,,,,,,,,,,,,,,20011017,,1,49.066329,-122.837223
31,3,Gate,1002172046,,1530207831,150,PVC Plastic,,Proposed,7817-0143-00,,Surrey,,,EC,,,,,,,,,,,,,,,,20190418,20190418,0,49.14464,-122.798088
32,2,Expansion Joint,1001793589,,1315411630,75,Polyethylene,,In Service,4709-5070-00,2014,Surrey,,,Final AB,,,,,,,,,,,,,,,,20141030,20141030,1,49.213484,-122.857144
33,3,Gate,1001699679,,1215411330,75,Cast Iron,0.35,In Service,4711-9020-00,2013,Surrey,,,Final AB,,,,,,,,,,,,,,,,20130827,20160708,1,49.208082,-122.884783
34,0,Ball,1002188116,,1919802059,200,,,In Service,4708-5080-00,2018,Surrey,,In Valve Chamber W/ Actuator,Final AB,,,,,,,,,,,,,,,,20190521,20190521,1,49.039958,-122.691277
35,0,Ball,1000141202,27877,1237011424,100,Ductile Iron,0.61,Abandoned,4515,1977,Surrey,,LINE BW-C,Final AB,,,,,,,,,,,,,,,,20051115,20160913,0,49.209778,-122.878817
36,0,Ball,1000141211,27624,1197110369,100,Clay Tile,0.83,In Service,4516,1978,Surrey,,LINE BSW-H,Final AB,,,,,,,,,,,,,,,,20051102,,1,49.190693,-122.889875
37,3,Gate,1001995926,,1125509617,250,Cast Iron,,In Service,,,Other Municipality,,,Final AB,,,,,,,,,,,,,,,,20180418,20180418,1,49.1771,-122.909656
38,0,Ball,1000141172,27481,1220510855,150,Ductile Iron,,Abandoned,,2004,Surrey,,LINE BSW-I,,,,,,,,,,,,,,,,,20051028,20190415,0,49.199477,-122.883378
39,3,Gate,1001793311,,1265511630,75,Cast Iron,,In Service,4709-5070-00,2014,Surrey,,,Final AB,,,,,,,,,,,,,,,,20141030,20160708,1,49.213498,-122.87092
40,0,Ball,1000141341,28034,1265111333,75,PVC Plastic,0.94,In Service,4515,1977,Surrey,,LINE BW-A,Final AB,,,,,,,,,,,,,,,,20051121,20120423,0,49.208123,-122.871045
41,0,Ball,1000141178,27533,1217010728,150,Ductile Iron,0.11,In Service,C-4122,1995,Surrey,,LINE BSW-K,Final AB,,,,,,,,,,,,,,,,20051030,20190415,1,49.197184,-122.884364
42,8,LPS Lateral Gate,1001794164,,1275311222,50,Cast Iron,,In Service,4709-5070-00,2014,Private,,,Final AB,,,,,,,,,,,,,,,,20141031,20160708,1,49.206111,-122.868245
43,3,Gate,1000141409,21754,1600701373,50,Ductile Iron,,In Service,4514,1979,Surrey,,AIR VALVE,Final AB,,,,,,,,,,,,,,,,20011029,,1,49.027751,-122.779165
44,8,LPS Lateral Gate,1001794036,,1298311694,50,Cast Iron,,In Service,4709-5070-00,2014,Private,,,Final AB,,,,,,,,,,,,,,,,20141031,20160708,1,49.214643,-122.86186
45,8,LPS Lateral Gate,1001793632,,1313711631,50,Cast Iron,,In Service,4709-5070-00,2014,Private,,,Final AB,,,,,,,,,,,,,,,,20141030,20160708,1,49.213494,-122.857624
46,3,Gate,1002127934,,1414005413,200,,,In Service,S-3077,2016,Surrey,,,Final AB,,,,,,,,,,,,,,,,20180815,20180815,1,49.100945,-122.830309
47,0,Ball,1001213283,,1182510387,75,Steel,,In Service,7805-0143-00,2009,Surrey,,,Final AB,,,,,,,,,,,,,,,,20110916,20120228,1,49.191028,-122.893911
48,3,Gate,1001929233,,1544005979,200,Cast Iron,,In Service,4714-4040-00,2016,Surrey,,,Initial AB,,,,,,,,,,,,,,,,20170501,20170501,1,49.111134,-122.794421
49,3,Gate,1001972546,,1252111421,150,Ductile Iron,,In Service,4706-4520-00,2012,Surrey,,,,,,,,,,,,,,,,,,,20171222,20171222,1,49.209715,-122.874639
50,8,LPS Lateral Gate,1001792747,,1226411431,50,Cast Iron,,In Service,4709-5070-00,2014,Private,,,Final AB,,,,,,,,,,,,,,,,20141029,20160708,1,49.2099,-122.881728
51,3,Gate,1001822356,,1307811506,100,Cast Iron,,In Service,4714-4120-00,2014,Surrey,,,Final AB,,,,,,,,,,,,,,,,20150514,20150514,1,49.211243,-122.859241
52,0,Ball,1000141171,27480,1215210892,100,Ductile Iron,0.6,In Service,S-537,1986,Surrey,,LINE BSW-E SEE ALSO S-010-053,Final AB,,,,,,,,,,,,,,,,20051028,20190308,1,49.200152,-122.884854
53,0,Ball,1000141320,27907,1238411322,75,Ductile Iron,0.56,Abandoned,4515,1977,Surrey,,LINE BW-F,Final AB,,,,,,,,,,,,,,,,20051115,20160708,0,49.207931,-122.878433
54,3,Gate,1001410469,,1265511278,150,,0.08,In Service,4706-4520-00,2012,Surrey,,,Final AB,,,,,,,,,,,,,,,,20120424,20160708,1,49.207136,-122.870933
55,3,Gate,1002159463,,1879002376,75,PVC Plastic,,In Service,7807-0395-00,2010,Surrey,,Closed as per ops,Final AB,,,,,,,,,,,,,,,,20190306,20191023,1,49.045724,-122.702466
56,0,Ball,1000141340,28027,1252411438,75,Ductile Iron,0.47,Abandoned,4515,1977,Surrey,,LINE BW-D,Final AB,,,,,,,,,,,,,,,,20051121,20160708,0,49.210027,-122.874552
57,3,Gate,1000141164,,1203510554,,Unknown,,In Service,,,Surrey,,,,,,,,,,,,,,,,,,,20060627,20060802,1,49.194052,-122.888104
58,3,Gate,1001793047,,1237611534,75,Cast Iron,1.06,In Service,4709-5070-00,2014,Surrey,,,Final AB,,,,,,,,,,,,,,,,20141029,20160708,1,49.21177,-122.878637
59,8,LPS Lateral Gate,1001699723,,1222611355,50,Cast Iron,,In Service,4711-9020-00,2013,Surrey,,Closed,Final AB,,,,,,,,,,,,,,,,20130827,20160708,1,49.208543,-122.882801
60,3,Gate,1001699737,,1221911342,100,Cast Iron,0.18,In Service,4711-9020-00,2013,Surrey,,,Final AB,,,,,,,,,,,,,,,,20130827,20160708,1,49.208296,-122.882994
61,3,Gate,1001822366,,1257811205,75,Cast Iron,,In Service,4714-5250-00,2014,Surrey,,,Final AB,,,,,,,,,,,,,,,,20150514,20150514,1,49.205806,-122.873068
62,3,Gate,1001897218,,1288411586,75,,,In Service,4715-5070-00,2017,Surrey,,,Initial AB,,,,,,,,,,,,,,,,20190502,20190502,1,49.212692,-122.864594
63,8,LPS Lateral Gate,1001795040,,1274011268,50,Cast Iron,,In Service,4709-5070-00,2014,Private,,,Final AB,,,,,,,,,,,,,,,,20141103,20160708,1,49.206937,-122.868594
64,3,Gate,1002201579,,1873702774,100,PVC Plastic,,Proposed,7816-0068-00,,Surrey,,,EC,,,,,,,,,,,,,,,,20190808,20190816,0,49.052928,-122.703898
65,3,Gate,1000141138,24739,1183210685,250,Ductile Iron,-0.41,Abandoned,4798-004-01,1999,Surrey,,,Final AB,,,,,,,,,,,,,,,,20040216,20160708,0,49.196418,-122.893687
66,3,Gate,1001435444,,1310905397,200,,,In Service,S-3077,2016,Metro Vancouver,,,Final AB,,,,,,,,,,,,,,,,20180816,20180816,1,49.100697,-122.858724
67,2,Expansion Joint,1001699746,,1226311426,100,,,In Service,4711-9020-00,2013,Surrey,,EEBAA EX-TEND 200,Final AB,,,,,,,,,,,,,,,,20130827,20130827,1,49.209822,-122.881777
68,3,Gate,1000141150,21732,1222110834,150,Ductile Iron,,In Service,S-757,1989,Surrey,,,Final AB,,,,,,,,,,,,,,,,20011026,,1,49.199109,-122.882947
69,3,Gate,1001822355,,1308911507,100,Cast Iron,,In Service,4714-4120-00,2014,Surrey,,,Final AB,,,,,,,,,,,,,,,,20150514,20150514,1,49.21126,-122.858947
70,3,Gate,1001148604,,1463903542,75,Cast Iron,,Abandoned,7805-0402-00,2009,Surrey,,CLOSED,Final AB,,,,,,,,,,,,,,,,20100201,20200213,0,49.067068,-122.816681
71,0,Ball,1000141270,27647,1279211391,75,Ductile Iron,0.78,Abandoned,4515,1978,Surrey,,LINE BE-A,Final AB,,,,,,,,,,,,,,,,20051102,20190430,0,49.209172,-122.867144
72,8,LPS Lateral Gate,1001794024,,1298311671,50,Cast Iron,,In Service,4709-5070-00,2014,Private,,,Final AB,,,,,,,,,,,,,,,,20141031,20160708,1,49.214238,-122.861866
73,8,LPS Lateral Gate,1001793374,,1284611631,50,Cast Iron,,In Service,4709-5070-00,2014,Private,,,Final AB,,,,,,,,,,,,,,,,20141030,20160708,1,49.213506,-122.865664
74,0,Ball,1000141332,27989,1252011323,100,Ductile Iron,0.55,Abandoned,7885-0500-00,1987,Surrey,,LINE BW-F,Final AB,,,,,,,,,,,,,,,,20051117,20160708,0,49.207942,-122.874677
75,3,Gate,1001213549,,1279011176,50,,,In Service,7802-0222-00,2011,Surrey,,,Final AB,,,,,,,,,,,,,,,,20110920,20110920,1,49.205287,-122.867213
76,3,Gate,1001185464,,1799505289,75,Ductile Iron,,In Service,4709-4010-00,2010,Surrey,,,Final AB,,,,,,,,,,,,,,,,20110105,20110105,1,49.098487,-122.724067
77,3,Gate,1000141228,21723,1195710582,150,Ductile Iron,,In Service,S-757,1989,Surrey,,,Final AB,,,,,,,,,,,,,,,,20011026,,1,49.194544,-122.890273
78,3,Gate,1001184301,,1346211427,200,Ductile Iron,3.45,In Service,4706-3020-00,2010,Surrey,,,Final AB,,,,,,,,,,,,,,,,20101209,20101209,1,49.209799,-122.848649
79,3,Gate,1000141132,24720,1195211044,100,Ductile Iron,1.1,In Service,4798-004-00,2001,Surrey,,,Final AB,,,,,,,,,,,,,,,,20040216,,1,49.202915,-122.89036
80,3,Gate,1001810842,,1203310981,250,Cast Iron,,In Service,SFPR Seg. 6,2013,Surrey,,,Final AB,,,,,,,,,,,,,,,,20150303,,1,49.201764,-122.888124
81,2,Expansion Joint,1001794960,,1266411268,150,Polyethylene,0.46,In Service,4709-5070-00,2014,Surrey,,,Final AB,,,,,,,,,,,,,,,,20141103,20141103,1,49.20694,-122.870705
82,3,Gate,1001147453,,1471603526,150,Cast Iron,,Abandoned,F/T,2009,Surrey,,,Final AB,,,,,,,,,,,,,,,,20100122,20180105,0,49.066773,-122.814549
83,3,Gate,1001410843,,1251911421,150,,0.2,In Service,4706-4520-00,2012,Surrey,,Normally Closed,Final AB,,,,,,,,,,,,,,,,20120425,20171222,1,49.209724,-122.874701
84,2,Expansion Joint,1001794073,,1228411306,75,Polyethylene,0,In Service,4709-5070-00,2014,Surrey,,,Final AB,,,,,,,,,,,,,,,,20141031,20150313,1,49.207649,-122.881197
85,0,Ball,1000141187,27552,1245510729,75,Ductile Iron,2.41,Abandoned,4516,1978,Surrey,,LINE BSW-J,Final AB,,,,,,,,,,,,,,,,20051030,20160708,1,49.197199,-122.876479
86,3,Gate,1001435567,,1339505479,200,,,In Service,S-3077,2016,Metro Vancouver,,,Final AB,,,,,,,,,,,,,,,,20121004,20180817,1,49.102162,-122.850827
87,3,Gate,1001195963,,1692507848,100,Steel,,In Service,7806-0317-00,2010,Surrey,,,Final AB,,,,,,,,,,,,,,,,20110420,20151201,1,49.144873,-122.75333
88,0,Ball,1000141353,28112,1253611583,75,Ductile Iron,0.88,Abandoned,4515,1977,Surrey,,LINE BW-B,Final AB,,,,,,,,,,,,,,,,20051123,20160708,0,49.21265,-122.874225
89,3,Gate,1001435466,,1318505439,200,Cast Iron,,Proposed,S-3077,,Metro Vancouver,,,EC,,,,,,,,,,,,,,,,20121004,20180810,1,49.101444,-122.856606
90,3,Gate,1001211639,,1680707743,75,Ductile Iron,8.18,In Service,7805-0393-00,2012,Surrey,,,Final AB,,,,,,,,,,,,,,,,20130121,20130121,1,49.142985,-122.756581
91,3,Gate,1000141264,25239,1295711310,150,Clay Tile,100,Abandoned,,,Surrey,,AS PER OPERATIONS,,,,,,,,,,,,,,,,,20040528,20190723,0,49.207702,-122.862606
92,2,Expansion Joint,1001795751,,1279111315,150,Polyethylene,,In Service,4709-5070-00,2014,Surrey,,,Final AB,,,,,,,,,,,,,,,,20141104,,1,49.207796,-122.867188
93,0,Ball,1000141292,27776,1290311624,75,PVC Plastic,0.68,Abandoned,4515,1978,Surrey,,LINE BE-H,Final AB,,,,,,,,,,,,,,,,20051108,20160708,0,49.213376,-122.864063
94,8,LPS Lateral Gate,1001792790,,1227211446,50,Cast Iron,,In Service,4709-5070-00,2014,Private,,,Final AB,,,,,,,,,,,,,,,,20141029,20160708,1,49.210177,-122.881526
95,3,Gate,1001419800,,1196410266,50,Ductile Iron,2.47,Proposed,7805-0021-00,,Surrey,,,EC,,,,,,,,,,,,,,,,20120730,20120730,0,49.188842,-122.890084
96,3,Gate,1001897216,,1283711586,50,,,In Service,4715-5070-00,2017,Surrey,,,Initial AB,,,,,,,,,,,,,,,,20190502,20190502,1,49.212693,-122.865892
97,3,Gate,1000141128,24713,1202410993,200,Ductile Iron,0.29,In Service,4798-004-00,2001,Surrey,,,Final AB,,,,,,,,,,,,,,,,20040216,,1,49.201991,-122.88837
98,3,Gate,1000141157,22421,1257810842,150,Ductile Iron,,In Service,7893-0309-00,1995,Surrey,,,Final AB,,,,,,,,,,,,,,,,20020102,,1,49.199231,-122.873085
99,3,Gate,1001211630,,1680707798,75,Ductile Iron,18.95,In Service,7805-0393-00,2012,Surrey,,,Final AB,,,,,,,,,,,,,,,,20130121,20130121,1,49.143972,-122.756595
100,8,LPS Lateral Gate,1001699687,,1209811251,38,Cast Iron,,In Service,4711-9020-00,2013,Surrey,,,,,,,,,,,,,,,,,,,20130827,20160708,1,49.206661,-122.886324
101,3,Gate,1001810805,,1198710869,250,Cast Iron,0.8,In Service,SFPR Seg. 6,2013,Surrey,,,Final AB,,,,,,,,,,,,,,,,20150302,20150302,1,49.199756,-122.889426
102,0,Ball,1001213309,,1194810419,100,Steel,,In Service,7805-0143-00,2009,Surrey,,,Final AB,,,,,,,,,,,,,,,,20110916,20120228,1,49.191604,-122.890501
103,3,Gate,1001797599,,1612209992,200,Cast Iron,,In Service,4711-5060-00,2014,Surrey,,,Final AB,,,,,,,,,,,,,,,,20141120,20141120,1,49.183706,-122.775295
104,8,LPS Lateral Gate,1001795868,,1309211585,50,Cast Iron,,In Service,4709-5070-00,2014,Private,,,Final AB,,,,,,,,,,,,,,,,20141104,20160708,1,49.212677,-122.858858
105,3,Gate,1001971750,,1366010025,350,Ductile Iron,,In Service,FT02525,2017,Surrey,,,Final AB,,,,,,,,,,,,,,,,20171215,20171215,1,49.184418,-122.843251
106,3,Gate,1001810817,,1204810957,250,Cast Iron,0.37,In Service,SFPR Seg. 6,2013,Surrey,,,Final AB,,,,,,,,,,,,,,,,20150302,20150302,1,49.201336,-122.887737
107,3,Gate,1000141384,28437,1483308230,400,Ductile Iron,19.1,In Service,4799-3030-00,2005,Surrey,,SEE ALSO S-043-197,Final AB,,,,,,,,,,,,,,,,20060105,20140313,1,49.151884,-122.810998
108,3,Gate,1000824685,,1439007896,150,,,In Service,4703-1180-00,2007,Surrey,,,Final AB,,,,,,,,,,,,,,,,20070508,20070508,1,49.145859,-122.823248
109,3,Gate,1000817959,,1645409357,50,Ductile Iron,,In Service,7803-0162-00,2006,Surrey,,,Final AB,,,,,,,,,,,,,,,,20070201,20140320,1,49.172207,-122.766197
110,3,Gate,1001199689,,1707800360,250,Ductile Iron,,In Service,7807-0041-00,2009,Surrey,,,Final AB,,,,,,,,,,,,,,,,20110603,20110603,1,49.009366,-122.749795
111,3,Gate,1001794944,,1272311269,100,Cast Iron,0.35,Abandoned,4709-5070-00,2014,Surrey,,,Final AB,,,,,,,,,,,,,,,,20141103,20190501,0,49.20696,-122.869078
112,8,LPS Lateral Gate,1001795869,,1308911585,50,Cast Iron,,In Service,4709-5070-00,2014,Private,,,Final AB,,,,,,,,,,,,,,,,20141104,20160708,1,49.212677,-122.858948
113,3,Gate,1001811890,,1367811624,100,Cast Iron,,In Service,SFPR Seg. 7,2013,Surrey,,,Final AB,,,,,,,,,,,,,,,,20150309,20150309,1,49.213354,-122.842679
114,2,Expansion Joint,1001699742,,1221911343,100,,,In Service,4711-9020-00,2013,Surrey,,EEBAA EX-TEND 200,Final AB,,,,,,,,,,,,,,,,20130827,20130827,1,49.208314,-122.882979
115,0,Ball,1000141198,27855,1224611295,75,Ductile Iron,0.68,Abandoned,4515,1977,Surrey,,LINE BW-E,Final AB,,,,,,,,,,,,,,,,20051114,20190410,0,49.207453,-122.88224
116,3,Gate,1001421078,,1878703015,150,Cast Iron,42.11,In Service,7809-0065-00,,Surrey,,,Final AB,,,,,,,,,,,,,,,,20120809,20121207,1,49.057298,-122.702482
117,2,Expansion Joint,1001699753,,1211411262,50,,,In Service,4711-9020-00,2013,Surrey,,EBAA EX-TEND 200,Final AB,,,,,,,,,,,,,,,,20130827,20130827,1,49.206853,-122.885886
118,2,Expansion Joint,1001699755,,1210211254,50,,,In Service,4711-9020-00,2013,Surrey,,EBAA EX-TEND 200,Final AB,,,,,,,,,,,,,,,,20130827,20130827,1,49.206705,-122.886231
119,0,Ball,1000141141,27296,1200211009,150,PVC Plastic,0.84,Abandoned,S-538,1986,Surrey,,LINE BSW-E  ALSO SEE S-009-010 & 52,Final AB,,,,,,,,,,,,,,,,20051024,20160708,0,49.202271,-122.888996
120,3,Gate,1001810366,,1180410729,100,Cast Iron,0.16,In Service,SFPR Seg. 6,2013,Surrey,,,Final AB,,,,,,,,,,,,,,,,20150228,20150228,1,49.197219,-122.894469
121,8,LPS Lateral Gate,1002183898,,1602800793,50,,,In Service,7815-0450-00,2018,Surrey,,,Final AB,,,,,,,,,,,,,,,,20190506,,1,49.017261,-122.778623
122,8,LPS Lateral Gate,1001795044,,1274111268,50,Cast Iron,,In Service,4709-5070-00,2014,Private,,,Final AB,,,,,,,,,,,,,,,,20141103,20160708,1,49.206954,-122.868583
123,8,LPS Lateral Gate,1001793628,,1311611631,50,Cast Iron,,In Service,4709-5070-00,2014,Private,,,Final AB,,,,,,,,,,,,,,,,20141030,20160708,1,49.213496,-122.858192
124,3,Gate,1001196068,,1696307871,50,Steel,,In Service,7806-0317-00,2010,Surrey,,,Final AB,,,,,,,,,,,,,,,,20110420,20151201,1,49.14528,-122.752288
125,8,LPS Lateral Gate,1002183342,,1282211585,38,,,In Service,4715-5070-00,2017,Surrey,,,Initial AB,,,,,,,,,,,,,,,,20190503,,1,49.212685,-122.866328
126,8,LPS Lateral Gate,1002183347,,1285211585,38,,,In Service,4715-5070-00,2017,Surrey,,,Initial AB,,,,,,,,,,,,,,,,20190503,,1,49.212684,-122.865497
127,3,Gate,1001793045,,1237711534,150,Cast Iron,1.06,In Service,4709-5070-00,2014,Surrey,,,Final AB,,,,,,,,,,,,,,,,20141029,20160708,1,49.211766,-122.878606
128,8,LPS Lateral Gate,1001699733,,1224611394,50,Cast Iron,,In Service,4711-9020-00,2013,Surrey,,Closed,Final AB,,,,,,,,,,,,,,,,20130827,20160708,1,49.209231,-122.882249
129,3,Gate,1001161245,,1840405200,600,Ductile Iron,4.52,In Service,4707-2040-00,2009,Surrey,,,Final AB,,,,,,,,,,,,,,,,20100520,20101221,1,49.096866,-122.71282
130,3,Gate,1001435486,,1325105446,200,Cast Iron,,Proposed,S-3077,,Metro Vancouver,,,Final AB,,,,,,,,,,,,,,,,20121004,20180816,1,49.101578,-122.854788
131,2,Expansion Joint,1001699759,,1220011307,100,,,In Service,4711-9020-00,2013,Surrey,,EBAA EX-TEND 200,Final AB,,,,,,,,,,,,,,,,20130827,20130827,1,49.207668,-122.883521
132,8,LPS Lateral Gate,1001793330,,1257711629,50,Cast Iron,,In Service,4709-5070-00,2014,Private,,,Final AB,,,,,,,,,,,,,,,,20141030,20160708,1,49.213482,-122.873076
133,0,Ball,1000141181,27538,1224110816,150,Ductile Iron,0.26,In Service,C-4122,1995,Surrey,,LINE BSW-K,Final AB,,,,,,,,,,,,,,,,20051030,,1,49.198775,-122.8824
134,3,Gate,1002159759,,1878802773,150,PVC Plastic,,In Service,7807-0395-00,2010,Surrey,,,Final AB,,,,,,,,,,,,,,,,20190307,20190307,1,49.052908,-122.702481
135,3,Gate,1000141303,23789,1509107447,100,Ductile Iron,14,In Service,7887-5460,1992,Surrey,,CHECK VALVE IN VALVE CHAMBER,Final AB,,,,,,,,,,,,,,,,20030623,,1,49.137695,-122.803951
136,3,Gate,1001811889,,1363111625,100,Cast Iron,,In Service,SFPR Seg. 7,2013,Surrey,,,Final AB,,,,,,,,,,,,,,,,20150309,20150309,1,49.213369,-122.843974
137,8,LPS Lateral Gate,1002183339,,1280111585,38,,,In Service,4715-5070-00,2017,Surrey,,,Initial AB,,,,,,,,,,,,,,,,20190503,,1,49.212686,-122.866901
138,3,Gate,1001811887,,1359111630,100,Cast Iron,,In Service,SFPR Seg. 7,2013,Surrey,,,Final AB,,,,,,,,,,,,,,,,20150309,20150309,1,49.213472,-122.845081
139,0,Ball,1001143026,,1182310332,150,Steel,1.15,In Service,7806-0185-00,2009,Surrey,,,Final AB,,,,,,,,,,,,,,,,20091208,20110916,1,49.19003,-122.893959
140,3,Gate,1001780537,,1869802474,75,Ductile Iron,41.69,In Service,7810-0301-00,2014,Surrey,,,Initial AB,,,,,,,,,,,,,,,,20140911,20140911,1,49.047504,-122.704997
141,3,Gate,1001189836,,1917605240,150,Ductile Iron,2.45,In Service,4706-1500-00,2011,Surrey,,,Final AB,,,,,,,,,,,,,,,,20110223,20110223,1,49.097523,-122.691519
